A4 E4 C4 A3
F5 C#5 E4 A3
_ _ _ _
_ _ A4 _
_ _ _ _
D5 A4 F4 D3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 A4 A3
_ _ _ _
_ B4 _ G#3
_ _ _ _
_ C5 A4 A3
_ _ _ _
_ D5 _ B3
_ _ _ _
E5 A4 A4 C4
_ _ _ _
F5 C5 _ A3
_ _ _ _
G5 D5 G4 B3
_ _ _ _
_ B4 _ G3
_ _ _ _
_ C5 _ A3
_ _ _ _
_ D5 _ B3
_ _ _ _
E5 E5 G4 C4
_ _ _ _
_ D5 _ B3
_ _ _ _
F5 C5 A4 A3
_ _ _ _
_ _ _ B3
_ _ _ _
E5 _ G4 C4
_ _ _ _
_ _ _ D4
_ _ _ _
_ C5 _ E4
_ _ _ _
_ _ _ F4
_ _ _ _
D5 C5 G4 G4
_ _ _ _
_ _ _ _
_ _ _ _
_ B4 _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
C5 C5 G4 E4
_ _ _ _
_ _ _ F4
_ _ _ _
_ G4 _ E4
_ _ _ _
_ _ F4 D4
_ _ _ _
C5 _ E4 C4
_ _ _ _
_ _ D4 B3
_ _ _ _
C5 A4 E4 A3
_ _ _ _
_ _ _ B3
_ _ _ _
B4 B4 _ A3
_ _ _ _
_ _ _ G3
_ _ _ _
C5 A4 E4 F3
_ _ _ _
_ G4 _ E3
_ _ _ _
D5 A4 D4 F3
_ _ _ _
_ _ _ D3
_ _ _ _
C5 G4 E4 G3
_ _ _ _
_ A4 _ F3
_ _ _ _
D5 B4 F4 E3
_ _ _ _
_ _ _ D3
_ _ _ _
E5 C5 G4 C3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 G4 C3
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 G4 C3
_ _ _ _
_ _ _ E3
_ _ _ _
_ _ _ G3
_ _ _ _
_ _ _ C4
_ _ _ _
D5 D5 G4 C4
_ _ _ _
_ _ _ B3
_ _ _ _
E5 D5 G4 C4
_ _ _ _
_ _ _ D4
_ _ _ _
_ C5 _ E4
_ _ _ _
_ _ _ F4
_ _ _ _
D5 B4 G4 G4
_ _ _ _
_ _ _ G3
_ _ _ _
E5 C5 G4 C4
_ _ _ _
_ _ _ B3
_ _ _ _
F#5 _ A4 A3
_ _ _ _
_ _ _ D4
_ _ _ _
_ D5 _ C4
_ _ _ _
_ _ _ D4
_ _ _ _
G5 D5 B4 G3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
A5 D5 F4 D3
_ _ _ _
_ _ _ D4
_ _ _ _
_ E5 C5 C4
_ _ _ _
_ _ _ B3
_ _ _ _
B5 _ B4 A3
_ _ _ _
_ _ _ G#3
_ _ _ _
C6 E5 B4 A3
_ _ _ _
_ _ _ C4
_ _ _ _
_ _ A4 D4
_ _ _ _
B5 D5 G#4 E4
_ _ _ _
A5 C5 A4 F4
_ _ _ _
_ _ G4 E4
_ _ _ _
A5 C5 F4 D4
_ _ _ _
_ _ _ C4
_ _ _ _
B5 B4 F4 D4
_ _ _ _
_ _ _ B3
_ _ _ _
G#5 B4 E4 E4
_ _ _ _
_ D5 _ E3
_ _ _ _
A5 C#5 E4 A3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
